,Unnamed: 0,x,y,severity,description,label,normalized_body,normalized_body_tokens
10,10,39.64437,-3.4077578,5.0,"A vulnerability was found in Keycloak before 11.0.1 where DoS attack is possible by sending twenty requests simultaneously to the specified keycloak server, all with a Content-Length header value that exceeds the actual byte count of the request body.",5,vulnerability dos attack possible sending twenty requests simultaneously specified server contentlength header value exceeds actual byte count request body,"['vulnerability', 'dos', 'attack', 'possible', 'sending', 'twenty', 'requests', 'simultaneously', 'specified', 'server', 'contentlength', 'header', 'value', 'exceeds', 'actual', 'byte', 'count', 'request', 'body']"
11,11,32.935104,-3.0994284,6.5,"A flaw was found in Keycloak before version 11.0.0, where the code base contains usages of ObjectInputStream without type checks. This flaw allows an attacker to inject arbitrarily serialized Java Objects, which would then get deserialized in a privileged context and potentially lead to remote code execution.",1,version code base contains usages objectinputstream without type checks allows attacker inject arbitrarily serialized java objects would get deserialized privileged context potentially lead remote code execution,"['version', 'code', 'base', 'contains', 'usages', 'objectinputstream', 'without', 'type', 'checks', 'allows', 'attacker', 'inject', 'arbitrarily', 'serialized', 'java', 'objects', 'would', 'get', 'deserialized', 'privileged', 'context', 'potentially', 'lead', 'remote', 'code', 'execution']"
12,12,44.95449,-2.6371028,4.0,"Due to improper authorization, Red Hat Single Sign-On is vulnerable to users performing actions that they should not be allowed to perform. It was possible to add users to the master realm even though no respective permission was granted.",5,due improper authorization red hat single signon users performing actions allowed perform possible add users master realm even though respective permission granted,"['due', 'improper', 'authorization', 'red', 'hat', 'single', 'signon', 'users', 'performing', 'actions', 'allowed', 'perform', 'possible', 'add', 'users', 'master', 'realm', 'even', 'though', 'respective', 'permission', 'granted']"
13,13,38.020103,-32.625168,5.0,Apache HttpClient versions prior to version 4.5.13 and 5.0.3 can misinterpret malformed authority component in request URIs passed to the library as java.net.URI object and pick the wrong target host for request execution.,6,apache httpclient versions prior version misinterpret malformed authority component request uris passed library javaneturi object pick wrong target host request execution,"['apache', 'httpclient', 'versions', 'prior', 'version', 'misinterpret', 'malformed', 'authority', 'component', 'request', 'uris', 'passed', 'library', 'javaneturi', 'object', 'pick', 'wrong', 'target', 'host', 'request', 'execution']"
14,14,31.669634,6.4301157,10.0,"Use of Java's default temporary directory for file creation in `FileBackedOutputStream` in Google Guava versions 1.0 to 31.1 on Unix systems and Android Ice Cream Sandwich allows other users and apps on the machine with access to the default Java temporary directory to be able to access the files created by the class. Even though the security vulnerability is fixed in version 32.0.0, we recommend using version 32.0.1 as version 32.0.0 breaks some functionality under Windows.",7,use javas default temporary directory file creation filebackedoutputstream google guava versions unix systems android ice cream sandwich allows users apps machine access default java temporary directory able access files created class even though security vulnerability fixed version recommend using version version breaks functionality windows,"['use', 'javas', 'default', 'temporary', 'directory', 'file', 'creation', 'filebackedoutputstream', 'google', 'guava', 'versions', 'unix', 'systems', 'android', 'ice', 'cream', 'sandwich', 'allows', 'users', 'apps', 'machine', 'access', 'default', 'java', 'temporary', 'directory', 'able', 'access', 'files', 'created', 'class', 'even', 'though', 'security', 'vulnerability', 'fixed', 'version', 'recommend', 'using', 'version', 'version', 'breaks', 'functionality', 'windows']"
15,15,31.82305,6.3691773,2.1,"A temp directory creation vulnerability exists in all versions of Guava, allowing an attacker with access to the machine to potentially access data in a temporary directory created by the Guava API com.google.common.io.Files.createTempDir(). By default, on unix-like systems, the created directory is world-readable (readable by an attacker with access to the system). The method in question has been marked @Deprecated in versions 30.0 and later and should not be used. For Android developers, we recommend choosing a temporary directory API provided by Android, such as context.getCacheDir(). For other Java developers, we recommend migrating to the Java 7 API java.nio.file.Files.createTempDirectory() which explicitly configures permissions of 700, or configuring the Java runtime's java.io.tmpdir system property to point to a location whose permissions are appropriately configured.",7,temp directory creation vulnerability exists versions guava allowing attacker access machine potentially access data temporary directory created guava api comgooglecommoniofilescreatetempdir default unixlike systems created directory worldreadable readable attacker access system method question marked deprecated versions later used android developers recommend choosing temporary directory api provided android contextgetcachedir java developers recommend migrating java api javaniofilefilescreatetempdirectory explicitly configures permissions configuring java runtimes javaiotmpdir system property point location whose permissions appropriately configured,"['temp', 'directory', 'creation', 'vulnerability', 'exists', 'versions', 'guava', 'allowing', 'attacker', 'access', 'machine', 'potentially', 'access', 'data', 'temporary', 'directory', 'created', 'guava', 'api', 'comgooglecommoniofilescreatetempdir', 'default', 'unixlike', 'systems', 'created', 'directory', 'worldreadable', 'readable', 'attacker', 'access', 'system', 'method', 'question', 'marked', 'deprecated', 'versions', 'later', 'used', 'android', 'developers', 'recommend', 'choosing', 'temporary', 'directory', 'api', 'provided', 'android', 'contextgetcachedir', 'java', 'developers', 'recommend', 'migrating', 'java', 'api', 'javaniofilefilescreatetempdirectory', 'explicitly', 'configures', 'permissions', 'configuring', 'java', 'runtimes', 'javaiotmpdir', 'system', 'property', 'point', 'location', 'whose', 'permissions', 'appropriately', 'configured']"
16,16,-76.99658,6.2719874,7.5,"The Alias feature in SnakeYAML before 1.26 allows entity expansion during a load operation, a related issue to CVE-2003-1564.",8,alias feature snakeyaml allows entity expansion load operation related issue cve,"['alias', 'feature', 'snakeyaml', 'allows', 'entity', 'expansion', 'load', 'operation', 'related', 'issue', 'cve']"
17,17,-49.265785,6.6286454,9.8,SnakeYaml's Constructor() class does not restrict types which can be instantiated during deserialization. Deserializing yaml content provided by an attacker can lead to remote code execution. We recommend using SnakeYaml's SafeConsturctor when parsing untrusted content to restrict deserialization. We recommend upgrading to version 2.0 and beyond.,9,snakeyamls constructor class restrict types instantiated deserialization deserializing yaml content provided attacker lead remote code execution recommend using snakeyamls safeconsturctor parsing content restrict deserialization recommend upgrading version beyond,"['snakeyamls', 'constructor', 'class', 'restrict', 'types', 'instantiated', 'deserialization', 'deserializing', 'yaml', 'content', 'provided', 'attacker', 'lead', 'remote', 'code', 'execution', 'recommend', 'using', 'snakeyamls', 'safeconsturctor', 'parsing', 'content', 'restrict', 'deserialization', 'recommend', 'upgrading', 'version', 'beyond']"
18,18,-69.81176,4.852778,7.5,The package org.yaml:snakeyaml from 0 and before 1.31 are vulnerable to Denial of Service (DoS) due missing to nested depth limitation for collections.,10,package orgyamlsnakeyaml denial service dos due missing nested depth limitation collections,"['package', 'orgyamlsnakeyaml', 'denial', 'service', 'dos', 'due', 'missing', 'nested', 'depth', 'limitation', 'collections']"
19,19,-59.912212,5.993711,6.5,"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stackoverflow.",11,using snakeyaml parse yaml files may denial service attacks dos parser running user supplied input attacker may supply content causes parser crash stackoverflow,"['using', 'snakeyaml', 'parse', 'yaml', 'files', 'may', 'denial', 'service', 'attacks', 'dos', 'parser', 'running', 'user', 'supplied', 'input', 'attacker', 'may', 'supply', 'content', 'causes', 'parser', 'crash', 'stackoverflow']"
20,20,-60.212204,4.9907737,5.5,"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stackoverflow.",11,using snakeyaml parse yaml files may denial service attacks dos parser running user supplied input attacker may supply content causes parser crash stackoverflow,"['using', 'snakeyaml', 'parse', 'yaml', 'files', 'may', 'denial', 'service', 'attacks', 'dos', 'parser', 'running', 'user', 'supplied', 'input', 'attacker', 'may', 'supply', 'content', 'causes', 'parser', 'crash', 'stackoverflow']"
21,21,-58.72718,5.7138605,6.5,"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stackoverflow.",11,using snakeyaml parse yaml files may denial service attacks dos parser running user supplied input attacker may supply content causes parser crash stackoverflow,"['using', 'snakeyaml', 'parse', 'yaml', 'files', 'may', 'denial', 'service', 'attacks', 'dos', 'parser', 'running', 'user', 'supplied', 'input', 'attacker', 'may', 'supply', 'content', 'causes', 'parser', 'crash', 'stackoverflow']"
22,22,-64.63795,12.878338,6.5,"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stack-overflow.",12,using snakeyaml parse yaml files may denial service attacks dos parser running user supplied input attacker may supply content causes parser crash stackoverflow,"['using', 'snakeyaml', 'parse', 'yaml', 'files', 'may', 'denial', 'service', 'attacks', 'dos', 'parser', 'running', 'user', 'supplied', 'input', 'attacker', 'may', 'supply', 'content', 'causes', 'parser', 'crash', 'stackoverflow']"
23,23,-58.8293,18.5271,6.5,"Those using Snakeyaml to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stack overflow. This effect may support a denial of service attack.",13,using snakeyaml parse yaml files may denial service attacks dos parser running user supplied input attacker may supply content causes parser crash stack overflow effect may support denial service attack,"['using', 'snakeyaml', 'parse', 'yaml', 'files', 'may', 'denial', 'service', 'attacks', 'dos', 'parser', 'running', 'user', 'supplied', 'input', 'attacker', 'may', 'supply', 'content', 'causes', 'parser', 'crash', 'stack', 'overflow', 'effect', 'may', 'support', 'denial', 'service', 'attack']"
24,24,39.603058,-0.9113973,3.5,"A flaw was found in Keycloak before version 12.0.0, where it is possible to add unsafe schemes for the redirect_uri parameter. This flaw allows an attacker to perform a Cross-site scripting attack.",5,version possible add unsafe schemes redirecturi parameter allows attacker perform crosssite scripting attack,"['version', 'possible', 'add', 'unsafe', 'schemes', 'redirecturi', 'parameter', 'allows', 'attacker', 'perform', 'crosssite', 'scripting', 'attack']"
25,25,49.727512,-11.057425,6.8,keycloak-server-spi-private - Session Fixation,5,keycloakserverspiprivate session fixation,"['keycloakserverspiprivate', 'session', 'fixation']"
26,26,50.53051,-3.1716495,6.5,A flaw was found in Keycloak. This flaw allows impersonation and lockout due to the email trust not being handled correctly in Keycloak. An attacker can shadow other users with the same email and lockout or impersonate them.,14,allows impersonation lockout due email trust handled correctly attacker shadow users email lockout impersonate,"['allows', 'impersonation', 'lockout', 'due', 'email', 'trust', 'handled', 'correctly', 'attacker', 'shadow', 'users', 'email', 'lockout', 'impersonate']"
27,27,12.208944,-22.10097,5.0,"All versions of Apache Santuario - XML Security for Java prior to 2.2.3 and 2.1.7 are vulnerable to an issue where the ""secureValidation"" property is not passed correctly when creating a KeyInfo from a KeyInfoReference element. This allows an attacker to abuse an XPath Transform to extract any local .xml files in a RetrievalMethod element.",15,versions apache santuario xml security java prior issue securevalidation property passed correctly creating keyinfo keyinforeference element allows attacker abuse xpath transform extract local xml files retrievalmethod element,"['versions', 'apache', 'santuario', 'xml', 'security', 'java', 'prior', 'issue', 'securevalidation', 'property', 'passed', 'correctly', 'creating', 'keyinfo', 'keyinforeference', 'element', 'allows', 'attacker', 'abuse', 'xpath', 'transform', 'extract', 'local', 'xml', 'files', 'retrievalmethod', 'element']"
28,28,-1.099454,-3.7434995,5.5,"In RESTEasy the insecure File.createTempFile() is used in the DataSourceProvider, FileProvider and Mime4JWorkaround classes which creates temp files with insecure permissions that could be read by a local user.",16,resteasy insecure filecreatetempfile used datasourceprovider fileprovider mimejworkaround classes creates temp files insecure permissions could read local user,"['resteasy', 'insecure', 'filecreatetempfile', 'used', 'datasourceprovider', 'fileprovider', 'mimejworkaround', 'classes', 'creates', 'temp', 'files', 'insecure', 'permissions', 'could', 'read', 'local', 'user']"
29,29,-4.426583,-1.5561111,5.0,A flaw was found in RESTEasy client in all versions of RESTEasy up to 4.5.6.Final. It may allow client users to obtain the server's potentially sensitive information when the server got WebApplicationException from the RESTEasy client call. The highest threat from this vulnerability is to data confidentiality.,3,resteasy client versions resteasy final may allow client users obtain servers potentially sensitive information server got webapplicationexception resteasy client call highest threat vulnerability data confidentiality,"['resteasy', 'client', 'versions', 'resteasy', 'final', 'may', 'allow', 'client', 'users', 'obtain', 'servers', 'potentially', 'sensitive', 'information', 'server', 'got', 'webapplicationexception', 'resteasy', 'client', 'call', 'highest', 'threat', 'vulnerability', 'data', 'confidentiality']"
30,30,-6.224475,12.638446,7.5,"The OWASP Java HTML Sanitizer before 20211018.1 does not properly enforce policies associated with the SELECT, STYLE, and OPTION elements.",17,owasp java html sanitizer properly enforce policies associated select style option elements,"['owasp', 'java', 'html', 'sanitizer', 'properly', 'enforce', 'policies', 'associated', 'select', 'style', 'option', 'elements']"
31,31,33.636635,-17.519423,5.0,"In verifyHostName of OkHostnameVerifier.java, there is a possible way to accept a certificate for the wrong domain due to improperly used crypto. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-8.1 Android-9 Android-10 Android-11Android ID: A-171980069",0,verifyhostname okhostnameverifierjava possible way accept certificate wrong domain due improperly used crypto could lead remote information disclosure additional execution privileges needed user interaction needed exploitationproduct androidversions android android android androidandroid id,"['verifyhostname', 'okhostnameverifierjava', 'possible', 'way', 'accept', 'certificate', 'wrong', 'domain', 'due', 'improperly', 'used', 'crypto', 'could', 'lead', 'remote', 'information', 'disclosure', 'additional', 'execution', 'privileges', 'needed', 'user', 'interaction', 'needed', 'exploitationproduct', 'androidversions', 'android', 'android', 'android', 'androidandroid', 'id']"
32,32,-76.99658,6.2719874,7.5,"The Alias feature in SnakeYAML before 1.26 allows entity expansion during a load operation, a related issue to CVE-2003-1564.",8,alias feature snakeyaml allows entity expansion load operation related issue cve,"['alias', 'feature', 'snakeyaml', 'allows', 'entity', 'expansion', 'load', 'operation', 'related', 'issue', 'cve']"
33,33,-48.70029,6.2550373,9.8,SnakeYaml's Constructor() class does not restrict types which can be instantiated during deserialization. Deserializing yaml content provided by an attacker can lead to remote code execution. We recommend using SnakeYaml's SafeConsturctor when parsing untrusted content to restrict deserialization. We recommend upgrading to version 2.0 and beyond.,9,snakeyamls constructor class restrict types instantiated deserialization deserializing yaml content provided attacker lead remote code execution recommend using snakeyamls safeconsturctor parsing content restrict deserialization recommend upgrading version beyond,"['snakeyamls', 'constructor', 'class', 'restrict', 'types', 'instantiated', 'deserialization', 'deserializing', 'yaml', 'content', 'provided', 'attacker', 'lead', 'remote', 'code', 'execution', 'recommend', 'using', 'snakeyamls', 'safeconsturctor', 'parsing', 'content', 'restrict', 'deserialization', 'recommend', 'upgrading', 'version', 'beyond']"
34,34,-69.304665,5.1135535,7.5,The package org.yaml:snakeyaml from 0 and before 1.31 are vulnerable to Denial of Service (DoS) due missing to nested depth limitation for collections.,10,package orgyamlsnakeyaml denial service dos due missing nested depth limitation collections,"['package', 'orgyamlsnakeyaml', 'denial', 'service', 'dos', 'due', 'missing', 'nested', 'depth', 'limitation', 'collections']"
35,35,-59.748924,3.902721,6.5,"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stackoverflow.",11,using snakeyaml parse yaml files may denial service attacks dos parser running user supplied input attacker may supply content causes parser crash stackoverflow,"['using', 'snakeyaml', 'parse', 'yaml', 'files', 'may', 'denial', 'service', 'attacks', 'dos', 'parser', 'running', 'user', 'supplied', 'input', 'attacker', 'may', 'supply', 'content', 'causes', 'parser', 'crash', 'stackoverflow']"
36,36,-58.00588,6.647097,5.5,"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stackoverflow.",11,using snakeyaml parse yaml files may denial service attacks dos parser running user supplied input attacker may supply content causes parser crash stackoverflow,"['using', 'snakeyaml', 'parse', 'yaml', 'files', 'may', 'denial', 'service', 'attacks', 'dos', 'parser', 'running', 'user', 'supplied', 'input', 'attacker', 'may', 'supply', 'content', 'causes', 'parser', 'crash', 'stackoverflow']"
37,37,-59.065945,4.7953706,6.5,"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stackoverflow.",11,using snakeyaml parse yaml files may denial service attacks dos parser running user supplied input attacker may supply content causes parser crash stackoverflow,"['using', 'snakeyaml', 'parse', 'yaml', 'files', 'may', 'denial', 'service', 'attacks', 'dos', 'parser', 'running', 'user', 'supplied', 'input', 'attacker', 'may', 'supply', 'content', 'causes', 'parser', 'crash', 'stackoverflow']"
38,38,-64.27133,12.430913,6.5,"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stack-overflow.",12,using snakeyaml parse yaml files may denial service attacks dos parser running user supplied input attacker may supply content causes parser crash stackoverflow,"['using', 'snakeyaml', 'parse', 'yaml', 'files', 'may', 'denial', 'service', 'attacks', 'dos', 'parser', 'running', 'user', 'supplied', 'input', 'attacker', 'may', 'supply', 'content', 'causes', 'parser', 'crash', 'stackoverflow']"
39,39,-59.097515,18.988695,6.5,"Those using Snakeyaml to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stack overflow. This effect may support a denial of service attack.",13,using snakeyaml parse yaml files may denial service attacks dos parser running user supplied input attacker may supply content causes parser crash stack overflow effect may support denial service attack,"['using', 'snakeyaml', 'parse', 'yaml', 'files', 'may', 'denial', 'service', 'attacks', 'dos', 'parser', 'running', 'user', 'supplied', 'input', 'attacker', 'may', 'supply', 'content', 'causes', 'parser', 'crash', 'stack', 'overflow', 'effect', 'may', 'support', 'denial', 'service', 'attack']"
40,40,66.2015,20.621958,5.0,The file name encoding algorithm used internally in Apache Commons Compress 1.15 to 1.18 can get into an infinite loop when faced with specially crafted inputs. This can lead to a denial of service attack if an attacker can choose the file names inside of an archive created by Compress.,18,file name encoding algorithm used internally apache commons get infinite loop faced specially crafted inputs lead denial service attack attacker choose file names inside archive created,"['file', 'name', 'encoding', 'algorithm', 'used', 'internally', 'apache', 'commons', 'get', 'infinite', 'loop', 'faced', 'specially', 'crafted', 'inputs', 'lead', 'denial', 'service', 'attack', 'attacker', 'choose', 'file', 'names', 'inside', 'archive', 'created']"
41,41,75.43851,14.805834,5.0,"When reading a specially crafted 7Z archive, the construction of the list of codecs that decompress an entry can result in an infinite loop. This could be used to mount a denial of service attack against services that use Compress' sevenz package.",19,specially crafted archive construction list codecs decompress entry result infinite loop could used mount denial service attack services use sevenz package,"['specially', 'crafted', 'archive', 'construction', 'list', 'codecs', 'decompress', 'entry', 'result', 'infinite', 'loop', 'could', 'used', 'mount', 'denial', 'service', 'attack', 'services', 'use', 'sevenz', 'package']"
42,42,72.60305,15.483671,5.0,"When reading a specially crafted 7Z archive, Compress can be made to allocate large amounts of memory that finally leads to an out of memory error even for very small inputs. This could be used to mount a denial of service attack against services that use Compress' sevenz package.",19,specially crafted archive made allocate large amounts memory finally leads memory error even small inputs could used mount denial service attack services use sevenz package,"['specially', 'crafted', 'archive', 'made', 'allocate', 'large', 'amounts', 'memory', 'finally', 'leads', 'memory', 'error', 'even', 'small', 'inputs', 'could', 'used', 'mount', 'denial', 'service', 'attack', 'services', 'use', 'sevenz', 'package']"
43,43,69.36948,17.51304,5.0,"When reading a specially crafted TAR archive, Compress can be made to allocate large amounts of memory that finally leads to an out of memory error even for very small inputs. This could be used to mount a denial of service attack against services that use Compress' tar package.",20,specially crafted tar archive made allocate large amounts memory finally leads memory error even small inputs could used mount denial service attack services use tar package,"['specially', 'crafted', 'tar', 'archive', 'made', 'allocate', 'large', 'amounts', 'memory', 'finally', 'leads', 'memory', 'error', 'even', 'small', 'inputs', 'could', 'used', 'mount', 'denial', 'service', 'attack', 'services', 'use', 'tar', 'package']"
44,44,66.69526,16.041637,5.0,"When reading a specially crafted ZIP archive, Compress can be made to allocate large amounts of memory that finally leads to an out of memory error even for very small inputs. This could be used to mount a denial of service attack against services that use Compress' zip package.",20,specially crafted zip archive made allocate large amounts memory finally leads memory error even small inputs could used mount denial service attack services use zip package,"['specially', 'crafted', 'zip', 'archive', 'made', 'allocate', 'large', 'amounts', 'memory', 'finally', 'leads', 'memory', 'error', 'even', 'small', 'inputs', 'could', 'used', 'mount', 'denial', 'service', 'attack', 'services', 'use', 'zip', 'package']"
45,45,14.202956,21.798183,5.0,"This affects the package com.fasterxml.jackson.dataformat:jackson-dataformat-cbor from 0 and before 2.11.4, from 2.12.0-rc1 and before 2.12.1. Unchecked allocation of byte buffer can cause a java.lang.OutOfMemoryError exception.",2,affects package comfasterxmljacksondataformatjacksondataformatcbor rc unchecked allocation byte buffer cause javalangoutofmemoryerror exception,"['affects', 'package', 'comfasterxmljacksondataformatjacksondataformatcbor', 'rc', 'unchecked', 'allocation', 'byte', 'buffer', 'cause', 'javalangoutofmemoryerror', 'exception']"
46,46,42.203762,-2.7908742,2.1,"A vulnerability was found in keycloak in the way that the OIDC logout endpoint does not have CSRF protection. Versions shipped with Red Hat Fuse 7, Red Hat Single Sign-on 7, and Red Hat Openshift Application Runtimes are believed to be vulnerable.",5,vulnerability way oidc logout endpoint csrf protection versions shipped red hat fuse red hat single signon red hat openshift application runtimes believed,"['vulnerability', 'way', 'oidc', 'logout', 'endpoint', 'csrf', 'protection', 'versions', 'shipped', 'red', 'hat', 'fuse', 'red', 'hat', 'single', 'signon', 'red', 'hat', 'openshift', 'application', 'runtimes', 'believed']"
